ID,Edad,Sexo,Altura,Peso,FrecuenciaSemanal,Antiguedad
1,24,M,175,72,4,12
2,31,F,160,60,3,6
3,27,M,180,80,5,24
4,35,F,165,68,2,3
5,22,M,178,75,6,18
6,45,F,158,70,1,8
7,30,M,185,90,4,10
8,26,F,162,55,3,5
9,38,M,172,82,2,15
10,21,F,167,53,5,2
11,29,M,176,78,4,9
12,34,F,163,62,3,11
13,40,M,170,85,2,6
14,23,F,169,58,6,7
15,37,M,182,88,3,13
16,28,F,161,60,4,4
17,25,M,179,76,5,14
18,32,F,164,66,2,12
19,36,M,177,83,3,10
20,20,F,168,52,6,1
21,44,M,174,89,1,16
22,33,F,159,65,3,7
23,39,M,181,91,4,20
24,24,F,166,59,5,5
25,42,M,173,87,2,9
26,27,F,160,61,4,8
27,35,M,178,84,3,11
28,30,F,167,57,5,6
29,41,M,183,93,2,19
30,22,F,164,54,6,2
31,38,M,176,86,3,13
32,36,F,162,64,2,10
33,29,M,180,82,4,17
34,25,F,165,56,5,3
35,31,M,179,79,3,12
36,43,F,157,67,2,14
37,28,M,182,88,5,7
38,26,F,163,60,4,6
39,37,M,175,81,3,15
40,20,F,168,55,6,2
41,34,M,171,77,4,8
42,33,F,160,63,3,9
43,39,M,180,89,2,10
44,21,F,166,51,6,1
45,35,M,177,85,4,13
46,32,F,159,60,3,4
47,29,M,183,92,5,11
48,27,F,161,58,4,5
49,40,M,174,86,2,16
50,23,F,167,53,6,3
51,24,M,175,72,4,12
52,31,F,160,60,3,6
53,27,M,180,80,5,24
54,35,F,165,68,2,3
55,22,M,178,75,6,18
56,45,F,158,70,1,8
57,30,M,185,90,4,10
58,26,F,162,55,3,5
59,38,M,172,82,2,15
60,21,F,167,53,5,2
